sci_name,order_,category
Anourosorex schmidi,EULIPOTYPHLA,DD
Belomys pearsonii,RODENTIA,DD
Berylmys mackenziei,RODENTIA,DD
Berylmys manipulus,RODENTIA,DD
Biswamoyopterus biswasi,RODENTIA,CR
Dacnomys millardi,RODENTIA,DD
Neodon forresti,RODENTIA,DD
Belomys pearsonii,RODENTIA,DD
Berylmys mackenziei,RODENTIA,DD
Berylmys manipulus,RODENTIA,DD
Biswamoyopterus biswasi,RODENTIA,CR
Hadromys humei,RODENTIA,EN
Belomys pearsonii,RODENTIA,DD
Crocidura horsfieldii,EULIPOTYPHLA,DD
Funambulus sublineatus,RODENTIA,VU
Platacanthomys lasiurus,RODENTIA,VU
Rattus satarae,RODENTIA,VU
Vandeleuria nilagirica,RODENTIA,EN
Feroculus feroculus,EULIPOTYPHLA,EN
Funambulus sublineatus,RODENTIA,VU
Mus famulus,RODENTIA,EN
Platacanthomys lasiurus,RODENTIA,VU
Rattus ranjiniae,RODENTIA,EN
Suncus dayi,EULIPOTYPHLA,EN
Millardia kondana,RODENTIA,EN
Rattus satarae,RODENTIA,VU
Belomys pearsonii,RODENTIA,DD
Berylmys mackenziei,RODENTIA,DD
Berylmys manipulus,RODENTIA,DD
Diomys crumpi,RODENTIA,DD
Hadromys humei,RODENTIA,EN
Berylmys mackenziei,RODENTIA,DD
Belomys pearsonii,RODENTIA,DD
Berylmys mackenziei,RODENTIA,DD
Berylmys manipulus,RODENTIA,DD
Belomys pearsonii,RODENTIA,DD
Berylmys mackenziei,RODENTIA,DD
Berylmys manipulus,RODENTIA,DD
Dacnomys millardi,RODENTIA,DD
Anourosorex schmidi,EULIPOTYPHLA,DD
Belomys pearsonii,RODENTIA,DD
Dacnomys millardi,RODENTIA,DD
Crocidura gathornei,EULIPOTYPHLA,DD
Eupetaurus cinereus,RODENTIA,EN
Belomys pearsonii,RODENTIA,DD
Dacnomys millardi,RODENTIA,DD
Diomys crumpi,RODENTIA,DD
