SCI_NAME,Common_name,IUCN_status,Country
Solisorex pearsoni,Pearson's Long-clawed Shrew,EN,Sri Lanka
Platacanthomys lasiurus,Malabar Spiny Tree Mouse,VU,India
Feroculus feroculus,Kelaart's Long-clawed Shrew,EN,"India, Sri Lanka"
Crossogale phaeura,Bornean Water Shrew,EN,Malaysia
Pteromyscus pulverulentus,Smoky Flying Squirrel,EN,"Brunei Darussalam, Indonesia, Malaysia, Thailand"
Cremnomys elvira,Large Rock-rat,CR,India
Biswamoyopterus biswasi,Namdapha Flying Squirrel,CR,India
Srilankamys ohiensis,Ohiya Rat,VU,Sri Lanka
Rheithrosciurus macrotis,Tufted Ground Squirrel,VU,"Brunei Darussalam, Indonesia, Malaysia"
Crocidura hikmiya,Sinharaja White-toothed Shrew,EN,Sri Lanka
Uromys boeadii,Biak Giant Rat,CR,Indonesia
Kadarsanomys sodyi,Javan Bamboo Rat,EN,Indonesia
Uromys porculus,Guadalcanal Rat,CR,Solomon Islands
Proedromys bedfordi,Duke Of Bedford's Vole,VU,China
Uromys emmae,Emma's Giant Rat,CR,Indonesia
Uromys imperator,Emperor Rat,CR,Solomon Islands
Paulamys naso,Paulaï¿½ï¿½ï¿½s Long-n,EN,Indonesia
Mus famulus,Bonhoteï¿½ï¿½ï¿,EN,India
Archboldomys luzonensis            ,Isarog Shrew Mouse      ,VU,Philippines
Sundasciurus fraterculus,Fraternal Squirrel,VU,Indonesia
Niviventer hinpoon,Limestone Niviventer,EN,Thailand
Suncus fellowesgordoni,Ceylon Pygmy Shrew,EN,Sri Lanka
Crocidura nicobarica,Nicobar Shrew,CR,India
Conilurus penicillatus,Brush-tailed Rabbit-rat,VU,"Australia, Papua New Guinea"
Solomys ponceleti,Poncelet's Giant Rat,CR,"Papua New Guinea, Solomon Islands"
